date,year_month,store,category,receipt_id,item,qty,unit_price,line_total,tax,tip,total,source_pdf
2026-02-24,2026-02,Greenleaf Market,Groceries,R1000-204,Organic Bananas (lb),2,0.69,1.38,0.00,0.00,12.38,receipt_01.pdf
2026-02-24,2026-02,Greenleaf Market,Groceries,R1000-204,Sourdough Loaf,2,5.50,11.00,0.00,0.00,12.38,receipt_01.pdf
2026-02-08,2026-02,Brewpoint Coffee,Coffee,R1001-617,Bagel + Cream Cheese,1,4.50,4.50,0.85,1.27,10.57,receipt_02.pdf
2026-02-08,2026-02,Brewpoint Coffee,Coffee,R1001-617,Croissant,1,3.95,3.95,0.85,1.27,10.57,receipt_02.pdf
2026-02-28,2026-02,Hammer & Nail Hardware,Hardware,R1005-203,2x4 Stud 8ft,1,4.49,4.49,8.48,0.00,117.90,receipt_06.pdf
2026-02-28,2026-02,Hammer & Nail Hardware,Hardware,R1005-203,Paint Roller,1,6.49,6.49,8.48,0.00,117.90,receipt_06.pdf
2026-02-28,2026-02,Hammer & Nail Hardware,Hardware,R1005-203,Latex Paint Gallon,2,32.99,65.98,8.48,0.00,117.90,receipt_06.pdf
2026-02-28,2026-02,Hammer & Nail Hardware,Hardware,R1005-203,Box Drywall Screws,3,8.99,26.97,8.48,0.00,117.90,receipt_06.pdf
2026-02-28,2026-02,Hammer & Nail Hardware,Hardware,R1005-203,Painters Tape,1,5.49,5.49,8.48,0.00,117.90,receipt_06.pdf
2026-02-27,2026-02,Chapter House Books,Books,R1007-132,Paperback Mystery,3,16.99,50.97,10.00,0.00,169.93,receipt_08.pdf
2026-02-27,2026-02,Chapter House Books,Books,R1007-132,Hardcover Novel,2,28.00,56.00,10.00,0.00,169.93,receipt_08.pdf
2026-02-27,2026-02,Chapter House Books,Books,R1007-132,Bookmark Set,3,5.99,17.97,10.00,0.00,169.93,receipt_08.pdf
2026-02-27,2026-02,Chapter House Books,Books,R1007-132,Cookbook,1,34.99,34.99,10.00,0.00,169.93,receipt_08.pdf
